Feedback_ID,Category,Feedback_Text
46,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
47,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
48,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
49,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
50,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
51,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
52,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
53,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
54,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
55,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
56,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
57,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
58,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
59,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
60,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
61,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
62,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
63,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
64,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
65,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
66,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
67,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
68,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
69,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
70,Complaint,"Streetlights are not maintained, making roads unsafe at night."
71,Complaint,Public parks are not maintained well and are often dirty.
72,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
73,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
74,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
75,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
76,Complaint,Public parks are not maintained well and are often dirty.
77,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
78,Complaint,"Streetlights are not maintained, making roads unsafe at night."
79,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
80,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
81,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
82,Complaint,Public parks are not maintained well and are often dirty.
83,Complaint,Public parks are not maintained well and are often dirty.
84,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
85,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
86,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
87,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
88,Complaint,"Streetlights are not maintained, making roads unsafe at night."
89,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
90,Complaint,"Streetlights are not maintained, making roads unsafe at night."
91,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
92,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
93,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
94,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
95,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
96,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
97,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
98,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
99,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
100,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
101,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
102,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
103,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
104,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
105,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
106,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
107,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
108,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
109,Complaint,"Streetlights are not maintained, making roads unsafe at night."
110,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
111,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
112,Complaint,Public parks are not maintained well and are often dirty.
113,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
114,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
115,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
116,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
117,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
118,Complaint,Public parks are not maintained well and are often dirty.
119,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
120,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
121,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
122,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
123,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
124,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
125,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
126,Complaint,Public parks are not maintained well and are often dirty.
127,Complaint,"Streetlights are not maintained, making roads unsafe at night."
128,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
129,Complaint,"Streetlights are not maintained, making roads unsafe at night."
130,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
131,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
132,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
133,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
134,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
135,Complaint,Public parks are not maintained well and are often dirty.
136,Complaint,Public parks are not maintained well and are often dirty.
137,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
138,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
139,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
140,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
141,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
142,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
143,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
144,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
145,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
146,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
147,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
148,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
149,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
150,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
151,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
152,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
153,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
154,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
155,Complaint,Public parks are not maintained well and are often dirty.
156,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
157,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
158,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
159,Complaint,Public parks are not maintained well and are often dirty.
160,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
161,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
162,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
163,Complaint,Public parks are not maintained well and are often dirty.
164,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
165,Complaint,Public parks are not maintained well and are often dirty.
166,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
167,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
168,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
169,Complaint,Public parks are not maintained well and are often dirty.
170,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
171,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
172,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
173,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
174,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
175,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
176,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
177,Complaint,"Streetlights are not maintained, making roads unsafe at night."
178,Complaint,Public parks are not maintained well and are often dirty.
179,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
180,Complaint,Public parks are not maintained well and are often dirty.
181,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
182,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
183,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
184,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
185,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
186,Complaint,"Streetlights are not maintained, making roads unsafe at night."
187,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
188,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
189,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
190,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
191,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
192,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
193,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
194,Complaint,Public parks are not maintained well and are often dirty.
195,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
196,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
197,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
198,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
199,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
200,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
201,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
202,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
203,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
204,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
205,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
206,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
207,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
208,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
209,Complaint,"Streetlights are not maintained, making roads unsafe at night."
210,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
211,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
212,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
213,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
214,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
215,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
216,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
217,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
218,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
219,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
220,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
221,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
222,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
223,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
224,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
225,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
226,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
227,Complaint,Public parks are not maintained well and are often dirty.
228,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
229,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
230,Complaint,Public parks are not maintained well and are often dirty.
231,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
232,Complaint,"Streetlights are not maintained, making roads unsafe at night."
233,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
234,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
235,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
236,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
237,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
238,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
239,Complaint,Public parks are not maintained well and are often dirty.
240,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
241,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
242,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
243,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
244,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
245,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
246,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
247,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
248,Complaint,Public parks are not maintained well and are often dirty.
249,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
250,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
251,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
252,Complaint,Public parks are not maintained well and are often dirty.
253,Complaint,Public parks are not maintained well and are often dirty.
254,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
255,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
256,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
257,Complaint,Public parks are not maintained well and are often dirty.
258,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
259,Complaint,"Streetlights are not maintained, making roads unsafe at night."
260,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
261,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
262,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
263,Complaint,Public parks are not maintained well and are often dirty.
264,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
265,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
266,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
267,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
268,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
269,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
270,Complaint,"Streetlights are not maintained, making roads unsafe at night."
271,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
272,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
273,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
274,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
275,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
276,Complaint,Public parks are not maintained well and are often dirty.
277,Complaint,Public parks are not maintained well and are often dirty.
278,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
279,Complaint,Public parks are not maintained well and are often dirty.
280,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
281,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
282,Complaint,Public parks are not maintained well and are often dirty.
283,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
284,Complaint,"Streetlights are not maintained, making roads unsafe at night."
285,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
286,Complaint,Public parks are not maintained well and are often dirty.
287,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
288,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
289,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
290,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
291,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
292,Complaint,Public parks are not maintained well and are often dirty.
293,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
294,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
295,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
296,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
297,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
298,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
299,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
300,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
301,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
302,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
303,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
304,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
305,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
306,Complaint,"Streetlights are not maintained, making roads unsafe at night."
307,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
308,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
309,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
310,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
311,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
312,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
313,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
314,Complaint,Public parks are not maintained well and are often dirty.
315,Complaint,"Streetlights are not maintained, making roads unsafe at night."
316,Complaint,Public parks are not maintained well and are often dirty.
317,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
318,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
319,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
320,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
321,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
322,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
323,Complaint,Public parks are not maintained well and are often dirty.
324,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
325,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
326,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
327,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
328,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
329,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
330,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
331,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
332,Complaint,"Streetlights are not maintained, making roads unsafe at night."
333,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
334,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
335,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
336,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
337,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
338,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
339,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
340,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
341,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
342,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
343,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
344,Complaint,Public parks are not maintained well and are often dirty.
345,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
346,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
347,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
348,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
349,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
350,Complaint,"Streetlights are not maintained, making roads unsafe at night."
351,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
352,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
353,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
354,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
355,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
356,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
357,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
358,Complaint,"Streetlights are not maintained, making roads unsafe at night."
359,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
360,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
361,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
362,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
363,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
364,Complaint,"Streetlights are not maintained, making roads unsafe at night."
365,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
366,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
367,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
368,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
369,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
370,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
371,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
372,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
373,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
374,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
375,Complaint,"Streetlights are not maintained, making roads unsafe at night."
376,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
377,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
378,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
379,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
380,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
381,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
382,Complaint,Public parks are not maintained well and are often dirty.
383,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
384,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
385,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
386,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
387,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
388,Complaint,Public parks are not maintained well and are often dirty.
389,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
390,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
391,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
392,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
393,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
394,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
395,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
396,Complaint,Public parks are not maintained well and are often dirty.
397,Complaint,Public parks are not maintained well and are often dirty.
398,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
399,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
400,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
401,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
402,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
403,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
404,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
405,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
406,Complaint,Public parks are not maintained well and are often dirty.
407,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
408,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
409,Complaint,Public parks are not maintained well and are often dirty.
410,Complaint,Public parks are not maintained well and are often dirty.
411,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
412,Complaint,Public parks are not maintained well and are often dirty.
413,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
414,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
415,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
416,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
417,Complaint,Public parks are not maintained well and are often dirty.
418,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
419,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
420,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
421,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
422,Complaint,"Streetlights are not maintained, making roads unsafe at night."
423,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
424,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
425,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
426,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
427,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
428,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
429,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
430,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
431,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
432,Complaint,Public parks are not maintained well and are often dirty.
433,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
434,Complaint,"Streetlights are not maintained, making roads unsafe at night."
435,Complaint,"Roads in my locality are full of potholes, making commuting very difficult."
436,Complaint,"Public transportation is overcrowded, making travel uncomfortable."
437,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
438,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
439,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
440,Complaint,"There is no proper drainage system, leading to frequent waterlogging."
441,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
442,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
443,Complaint,Public parks are not maintained well and are often dirty.
444,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
445,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
446,Complaint,"The water supply is inconsistent, and sometimes we get dirty water."
447,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
448,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
449,Complaint,"Electricity outages happen frequently, and no proper response from authorities."
450,Complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
451,Complaint,"The garbage collection in our area is irregular, causing hygiene issues."
452,Complaint,"Traffic signals in our area are not functioning properly, causing accidents."
